apts;hp;floors;groundArea;matter;value;x;y;temperature
1.0;39.0;28.0;63.0;1.0;6.0;0.2275255977390288;0.2656269256730951;2.0
1.0;12.0;2.0;50.0;0.0;5.0;0.3820577896431233;0.2431449331372546;3.0
3.0;20.0;4.0;179.0;2.0;17.0;0.13216039102805865;0.9284066668310405;2.0
3.0;98.0;29.0;181.0;1.0;5.0;0.2769635400205971;0.38876133946356106;1.0
1.0;12.0;2.0;50.0;0.0;5.0;0.46114647347190363;0.0513397898779846;3.0
3.0;32.0;7.0;158.0;1.0;69.0;0.6292432071249232;0.0166177181621997;4.0
4.0;12.0;1.0;217.0;2.0;84.0;0.36564177130745423;0.4998520547504026;3.0
3.0;17.0;3.0;184.0;2.0;18.0;0.9449976168865357;0.34453232821426905;2.0
3.0;17.0;3.0;158.0;2.0;69.0;0.17773851317107303;0.8468971594729027;4.0
3.0;95.0;28.0;178.0;1.0;5.0;0.9720696597965475;0.45993724236669065;1.0
3.0;14.0;2.0;164.0;2.0;16.0;0.08889139879035923;0.6541037344300138;2.0
3.0;83.0;24.0;152.0;1.0;15.0;0.6435533200635896;0.8706557980216776;2.0
3.0;17.0;3.0;162.0;2.0;72.0;0.14484629090374634;0.13590751563540981;4.0
3.0;17.0;3.0;168.0;2.0;5.0;0.24238393475869147;0.7214258517328647;1.0
4.0;28.0;5.0;208.0;2.0;5.0;0.8303203362282199;0.4171710146063783;1.0
1.0;11.0;1.0;50.0;0.0;5.0;0.6425528610442997;0.04559442600233077;3.0
1.0;11.0;1.0;50.0;0.0;29.0;0.8318418626766749;0.6064446332637401;4.0
4.0;12.0;1.0;227.0;2.0;5.0;0.7906699196785242;0.8408222938298912;1.0
3.0;17.0;3.0;165.0;2.0;72.0;0.5283725016814944;0.23177833825260363;4.0
2.0;10.0;1.0;126.0;2.0;5.0;0.46165000856612615;0.534594059451263;1.0
2.0;33.0;11.0;115.0;1.0;22.0;0.2534439463358994;0.2926066858771247;3.0
1.0;10.0;2.0;94.0;2.0;9.0;0.283143651471753;0.2656909425412948;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.4846668790245493;0.47934086312936286;1.0
2.0;17.0;3.0;138.0;1.0;13.0;0.5758749240524395;0.08270988071015872;2.0
1.0;12.0;2.0;50.0;0.0;29.0;0.11211954062469953;0.6300024915440685;4.0
2.0;25.0;7.0;106.0;1.0;5.0;0.83903888092184;0.8735852051733661;1.0
3.0;71.0;20.0;155.0;1.0;5.0;0.26725030845320275;0.48838882783932;1.0
1.0;13.0;5.0;75.0;2.0;7.0;0.04262531347253573;0.15339218457293058;3.0
1.0;39.0;28.0;77.0;1.0;5.0;0.9465329345484443;0.045956902097020746;1.0
2.0;59.0;24.0;125.0;1.0;5.0;0.9407440322879941;0.9294757661391475;1.0
2.0;10.0;1.0;131.0;2.0;26.0;0.3814409060599617;0.9746234288174238;3.0
1.0;9.0;1.0;98.0;2.0;9.0;0.13869127208963616;0.240577548014983;3.0
4.0;12.0;1.0;224.0;2.0;88.0;0.15911347932540476;0.6582656233116996;3.0
1.0;11.0;1.0;50.0;0.0;29.0;0.6887041382793755;0.7749559587431754;4.0
1.0;12.0;2.0;50.0;0.0;29.0;0.9341962035530912;0.03010899106310949;4.0
4.0;24.0;4.0;222.0;2.0;88.0;0.23499347821509042;0.8105681978042588;3.0
1.0;37.0;26.0;84.0;1.0;8.0;0.6377332181361609;0.24374332440171353;3.0
1.0;12.0;2.0;50.0;0.0;5.0;0.17199931174142857;0.8646661404220397;2.0
1.0;11.0;1.0;50.0;0.0;5.0;0.6732872217817143;0.8885201424463706;1.0
3.0;14.0;2.0;160.0;2.0;5.0;0.09968513595216688;0.998506346357494;1.0
