apts;hp;floors;groundArea;matter;value;x;y;temperature
3.0;89.0;26.0;160.0;1.0;5.0;0.4661132378573303;0.8443902451261085;1.0
3.0;11.0;1.0;190.0;2.0;19.0;0.24549199372337793;0.8195884318060912;2.0
2.0;23.0;6.0;113.0;1.0;22.0;0.009766807692460633;0.4116307567087306;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.13990055139211788;0.3305208975570284;3.0
2.0;65.0;27.0;102.0;1.0;10.0;0.03032300676775246;0.054794560849634855;2.0
1.0;11.0;1.0;50.0;0.0;5.0;0.024563981777790622;0.3562711483786769;1.0
1.0;9.0;1.0;90.0;2.0;33.0;0.32427318585109277;0.27464783536008097;4.0
1.0;12.0;2.0;50.0;0.0;29.0;0.5887631307398473;0.3348713445912225;4.0
1.0;12.0;2.0;50.0;0.0;5.0;0.04457442810924572;0.4073260873182639;3.0
1.0;12.0;4.0;50.0;2.0;29.0;0.4580532563624128;0.6163512513705266;4.0
1.0;19.0;8.0;52.0;1.0;5.0;0.26298906866317795;0.9429297460883863;1.0
1.0;12.0;2.0;50.0;0.0;5.0;0.11109792912971328;0.6919465943283916;3.0
1.0;11.0;1.0;50.0;0.0;5.0;0.1943104962635689;0.6553967635659989;3.0
3.0;20.0;4.0;185.0;2.0;18.0;0.2797244298302627;0.266545186103469;2.0
1.0;11.0;1.0;50.0;0.0;5.0;0.5242830277996822;0.8229552604850037;1.0
2.0;10.0;1.0;101.0;2.0;20.0;0.047869198866368645;0.11903118662903411;3.0
3.0;98.0;29.0;184.0;1.0;18.0;0.2898738844848999;0.8816602925486204;2.0
2.0;10.0;1.0;102.0;2.0;44.0;0.6826704254385063;0.0965513186987712;4.0
4.0;16.0;2.0;201.0;2.0;104.0;0.046163991748142785;0.6248906918002108;4.0
1.0;11.0;3.0;51.0;2.0;29.0;0.7284911767884452;0.016419867401936683;4.0
1.0;12.0;2.0;50.0;0.0;29.0;0.38123139749979806;0.34402262728549415;4.0
1.0;13.0;5.0;84.0;2.0;5.0;0.9923216734027052;0.5387123359278989;1.0
1.0;30.0;19.0;89.0;1.0;5.0;0.6449063052569354;0.15278492495475615;1.0
1.0;12.0;2.0;50.0;0.0;5.0;0.0678264682764601;0.28085932398904834;2.0
1.0;11.0;3.0;72.0;2.0;31.0;0.8953779065106235;0.5751036949501334;4.0
1.0;12.0;2.0;50.0;0.0;5.0;0.7060078165450353;0.31990524017753963;1.0
1.0;9.0;1.0;97.0;2.0;9.0;0.36668845763638125;0.8195327246003529;2.0
1.0;13.0;5.0;75.0;2.0;31.0;0.7976384740590796;0.10698072358244004;4.0
3.0;23.0;5.0;165.0;2.0;5.0;0.1035998429702295;0.9585138645416491;1.0
1.0;11.0;1.0;50.0;0.0;5.0;0.6035112529630248;0.11150057833102989;3.0
1.0;12.0;1.0;55.0;1.0;5.0;0.9012512718448256;0.32398353804791225;2.0
2.0;37.0;13.0;146.0;1.0;52.0;0.1445388591526554;0.5456379979904898;4.0
3.0;14.0;2.0;159.0;2.0;45.0;0.662153328534962;0.5327893218635904;3.0
1.0;11.0;3.0;59.0;2.0;29.0;0.30663037250729563;0.5522399344985031;4.0
2.0;69.0;29.0;130.0;1.0;5.0;0.2734331152437922;0.5621615506368024;1.0
2.0;12.0;2.0;108.0;2.0;20.0;0.6528657732815061;0.6672670145058753;3.0
4.0;31.0;5.0;206.0;1.0;5.0;0.8279194828176573;0.7113778350699576;1.0
1.0;12.0;2.0;50.0;0.0;5.0;0.5343843216570181;0.41013221554212853;2.0
1.0;11.0;1.0;50.0;0.0;5.0;0.13207055941930612;0.556060707042413;3.0
1.0;15.0;4.0;96.0;1.0;5.0;0.6238821063456542;0.3734678667343956;1.0
1.0;15.0;4.0;90.0;1.0;9.0;0.3530413047992468;0.2978599101387924;2.0
1.0;12.0;2.0;50.0;0.0;5.0;0.106936064625347;0.9999699272637461;3.0
1.0;19.0;8.0;67.0;1.0;6.0;0.2997753178406387;0.6448715596883865;2.0
2.0;14.0;3.0;126.0;2.0;12.0;0.4456503115625494;0.3248342605902741;2.0
1.0;11.0;1.0;50.0;0.0;5.0;0.9229702888510297;0.9229561664225173;2.0
4.0;20.0;3.0;227.0;2.0;22.0;0.10043322859487058;0.35887907450643486;2.0
2.0;10.0;1.0;100.0;2.0;5.0;0.7863338149438267;0.7241836245724199;1.0
1.0;13.0;5.0;57.0;2.0;5.0;0.7525749852859916;0.3155152842245248;1.0
1.0;11.0;1.0;50.0;0.0;5.0;0.7319867370170341;0.4960991111630688;2.0
1.0;11.0;1.0;50.0;0.0;5.0;0.58786655339923;0.908224494549855;1.0
1.0;11.0;1.0;50.0;0.0;29.0;0.8594854028561991;0.6262580007970732;4.0
4.0;12.0;1.0;225.0;2.0;112.0;0.1496846947224264;0.26546604576696975;4.0
4.0;43.0;8.0;214.0;1.0;108.0;0.5382857169210323;0.27679703311195003;4.0
2.0;31.0;10.0;143.0;1.0;52.0;0.9693325894498152;0.30238520797182256;4.0
