id;temperature;matter;floors;damage;groundArea;apartmentsPerFloor;buildingHP;x;y
6;INFERNO;STEEL_FRAME_HOUSE;9;SEVERE;140;2;29;0.9662377659373017;0.09083286482640784
7;HOT;STEEL_FRAME_HOUSE;29;SEVERE;161;3;98;0.2529916359760527;0.3600584420459467
8;WARM;WOODEN_HOUSE;2;SEVERE;50;1;12;0.1559953018677711;0.33115687070389
9;HOT;STEEL_FRAME_HOUSE;16;SEVERE;210;4;75;0.1099869483705378;0.585744887830802
10;ON_FIRE;REINFORCED_CONCRETE;2;SEVERE;193;3;14;0.9491952745940495;0.6000293760995818
11;ON_FIRE;WOODEN_HOUSE;2;SEVERE;50;1;12;0.8209315116140541;0.658821942197246
12;ON_FIRE;STEEL_FRAME_HOUSE;4;SEVERE;206;4;27;0.18789425256336412;0.9598530023516598
13;WARM;REINFORCED_CONCRETE;3;SEVERE;144;2;14;0.7172744945566271;0.4355025069284112
14;WARM;STEEL_FRAME_HOUSE;26;SEVERE;197;3;89;0.37100828418018206;0.3904892570621944
15;ON_FIRE;REINFORCED_CONCRETE;2;SEVERE;79;1;10;0.13482660831192372;0.43712711185139297
16;HOT;STEEL_FRAME_HOUSE;24;SEVERE;125;2;59;0.02121418799590813;0.6070095492344889
17;INFERNO;STEEL_FRAME_HOUSE;28;SEVERE;86;1;39;0.0040101221111649155;0.26729369561174066
18;WARM;WOODEN_HOUSE;2;SEVERE;50;1;12;0.46606555716381903;0.45581357239933507
19;ON_FIRE;REINFORCED_CONCRETE;3;SEVERE;170;3;17;0.5869818536697271;0.9542707937186633
20;INFERNO;REINFORCED_CONCRETE;1;SEVERE;137;2;10;0.6712721425368909;0.3250058128461356
21;HOT;WOODEN_HOUSE;2;SEVERE;50;1;12;0.4728395630017823;0.22276272294534083
22;WARM;WOODEN_HOUSE;1;SEVERE;50;1;11;0.728306854257504;0.9373669079128557
23;WARM;REINFORCED_CONCRETE;3;SEVERE;168;3;17;0.9744302574362632;0.8800564758066565
24;INFERNO;REINFORCED_CONCRETE;4;SEVERE;124;2;16;0.5655119623934988;0.28156042302597084
25;ON_FIRE;REINFORCED_CONCRETE;5;SEVERE;221;4;28;0.6824828766031321;0.8104268577014228
26;ON_FIRE;WOODEN_HOUSE;1;SEVERE;50;1;11;0.6623085614736329;0.9331279822025057
27;HOT;REINFORCED_CONCRETE;1;SEVERE;179;3;11;0.256625712825449;0.4855925827064873
28;ON_FIRE;WOODEN_HOUSE;1;SEVERE;50;1;11;0.7644817056245093;0.9476645316307604
29;INFERNO;REINFORCED_CONCRETE;3;SEVERE;65;1;11;0.9822071812067121;0.3678077575706068
30;HOT;REINFORCED_CONCRETE;4;SEVERE;170;3;20;0.5207826629450487;0.05590456076782968
31;ON_FIRE;STEEL_FRAME_HOUSE;9;SEVERE;113;2;29;0.4746533957110345;0.9018561276217385
32;WARM;REINFORCED_CONCRETE;3;SEVERE;154;3;17;0.3593561073574436;0.25036779567210377
33;WARM;REINFORCED_CONCRETE;2;SEVERE;79;1;10;0.42057088422251254;0.3151307216483237
34;ON_FIRE;STEEL_FRAME_HOUSE;8;SEVERE;117;2;27;0.3035677196175407;0.40025590388399446
35;ON_FIRE;STEEL_FRAME_HOUSE;19;SEVERE;54;1;30;0.3201393065867396;0.1080103181222305
36;WARM;WOODEN_HOUSE;1;SEVERE;50;1;11;0.8798961604475668;0.8369535176167546
37;INFERNO;STEEL_FRAME_HOUSE;18;SEVERE;139;2;47;0.22139031130152964;0.357670850592108
38;INFERNO;REINFORCED_CONCRETE;3;SEVERE;166;3;17;0.2161831654335119;0.5546245978826156
39;ON_FIRE;STEEL_FRAME_HOUSE;20;SEVERE;174;3;71;0.6041888341742013;0.1085510548048122
40;INFERNO;STEEL_FRAME_HOUSE;12;SEVERE;76;1;23;0.405984872876209;0.1656120967105712
41;HOT;REINFORCED_CONCRETE;4;SEVERE;197;3;20;0.7039801927025688;0.874509353579507
42;WARM;STEEL_FRAME_HOUSE;13;SEVERE;195;3;50;0.8410950703362527;0.06653719968864735
43;ON_FIRE;WOODEN_HOUSE;1;SEVERE;50;1;11;0.4825379369815781;0.6652611101354126
44;WARM;WOODEN_HOUSE;2;SEVERE;50;1;12;0.5704262117026829;0.5712423098976552
45;ON_FIRE;STEEL_FRAME_HOUSE;27;SEVERE;129;2;65;0.24797284924160223;0.2321565988646206
46;INFERNO;WOODEN_HOUSE;1;SEVERE;50;1;11;0.3212968514244525;0.23373230124091726
47;WARM;WOODEN_HOUSE;2;SEVERE;50;1;12;0.1943268933190858;0.23868978539001806
48;INFERNO;STEEL_FRAME_HOUSE;29;SEVERE;79;1;40;0.3093095323320074;0.5929225103707999
49;WARM;WOODEN_HOUSE;2;SEVERE;50;1;12;0.8916870647121501;0.6689584469925077
50;HOT;REINFORCED_CONCRETE;5;SEVERE;162;3;23;0.46325516343836337;0.149977209013066
51;HOT;WOODEN_HOUSE;2;SEVERE;50;1;12;0.3816940000978861;0.7482041919608149
52;ON_FIRE;REINFORCED_CONCRETE;2;SEVERE;71;1;10;0.43793295947460575;0.9393006965098244
53;INFERNO;REINFORCED_CONCRETE;3;SEVERE;190;3;17;0.27356521490673613;0.8984603980886441
54;ON_FIRE;STEEL_FRAME_HOUSE;8;SEVERE;112;2;27;0.5812923360016222;0.10587459148942924
55;ON_FIRE;WOODEN_HOUSE;2;SEVERE;50;1;12;0.11626244493587778;0.42075023850370985
